ரேடியோ அதிர்வெண் முடுக்கிகள், துகள்கள் நேரடியாக முடுக்குகிறது.	Radio athirven mudikkigal, thugalkal neradiyaga mudukukirathu.
வேல்சாமி ஆகியவர்களோடு இணைந்து நடத்தியவர்.	Velsami aagiyavarkalodu inainthu nadathiyavar.
சாரநாதன் பொறியியல் கல்லூரி	Saaranathan poroyiyal kalloori
செங்குத்தான மூலைவிட்டங்களைக் கொண்ட இணைகரம்(இரண்டாவது குணம்) சாய்சதுரம் ஆகும்.	senguthaana moolaivittangkalaik konda inaikaram(irandavathu kunam) saaysathuram aagum.
பணியால் பாதிக்கப்படக்கூடிய சொத்துகளின் உடைமைஉரிமையாளர்கள் அல்லது இயக்குபவர்களிடமிருந்து உரிமையளித்தலைப் பெறுதல்;	Paniyaal paathikapadakuudiya sothukalin udaimaiurimaiyaalarkal allathu iyakupavarkalidamirunthu urimaiyalithalai peruthal
மாநில ஆட்சி வழமையாக ஓர் முதலமைச்சரின் கீழ் இயங்காது குடியரசுத் தலைவரின் கீழ் இயங்குவதால் இதனை குடியரசுத்தலைவராட்சி என்று குறிப்பிடுகின்றனர்.	Maanila aatchu vazhamaiyaaka oor muthalamaicharin keel iyankathu kudiyarasu thalaivarin keezh iyangkuvathal ithanai kudiyarasuththalaivaraatchi endru kuripidukindranar.
இது புனித சிறில், ஜெரோம் ஆகியோரால் 4 ஆம் நூற்றாண்டில் குறிப்பிடப்பட்டது.	Ithu punitha siral, jerom aakiyooraal 4 aam nootraandil kuripidappattathu.
பயணித்தல்	Payanithal
ஆனக்காடு வடக்கு	Aanakaadu vadaku
'கோ ஆதன் செல்லிரும்பொறை மகன் பெருங்கடுங்கோ மகன் இளங்கடுங்கோ' என்பது அந்தக் கால்வழி வரிசைமுறை.	Ko aathan sollirumporai makan perungkadungko makan ilangkadungko enbathu antha kaalvazhi varisaimurai.
வரும் ஆண்டுகளில் மேலும் கூடுதல் கல்வித்திட்டங்களும் ஆய்வு திட்டங்களும் மற்ற இ.தொ.கழகங்களைப் போன்றே வகுக்கப்படும்.	Varum aandukalil meelum kooduthal kalvithittangkalim aayvu thittangkalum matra e.tho.kazhakangkalai pondrea vazhangkapadum.
இன்று போர்த்துகலாக இருக்கும் பகுதிகளை உரோமர் கைப்பற்றுவதற்கு ஏறத்தாழ 200 ஆண்டுகள் பிடித்ததுடன், பல இளம் போர்வீரர்களும் தமது உயிர்களை இழந்தனர்.	Indru Portugalaaka irukum paguthikalai Uromar kaipatruvatharku eerathaazha 200 aandukal pidiththathudan, pala ilam veerarkalum thamathu uyirkalai izhanthanar.
பண்டைய இயற்சொற்கள் பல அவற்றில் விரவி வந்தமையால் அவற்றைப் பொதுமக்கள் உணர்ந்துகொள்ளும் பொருட்டு நல்லறிஞர்கள் பலர் பாடல்களுக்கு உரை எழுதினர்.	Pandaiya iyarsorkal pala avatril viravi vanthamaiyaal avatrai pothumakkal unarnthukollum poruttu nallarinjarkal palar paadalkaluku urai ezhuthinar.
சேரமான் மாரி வெண்கோ, சோழன் இராசசூயம் வேட்ட பெருநற்கிள்ளி, பாண்டியன் கானப்பேரெயில் தந்த உக்கிரப் பெருவழுதி ஆகிய மூவரும் நண்பர்களாகக் கூடி மகிழ்ந்திருக்கக் கண்டு, வானத்து மீன்கள் போலவும், மழையின் திவலைகள் போலவும் உயர்ந்தோங்கிப் பொலிக என வாழ்த்தினார்.	Seramaan maari venko, sozhan iraasasuyam veatta perunarkilli, pandiyan kaanaperail thantha ukkira peruvazhuthi aakiya moovarum nanbarkalaaka koodi makizhnthiruka kandu, vaanathu meenkal polavum, mazhaiyin thivalaikal polavum uyarnthongki polika ena vaazhthinaar.
இப்புராணங்களை படிக்கத் தொடங்கிய பொழுதும், படித்து முடித்த பொழுதும் மாகேசுர பூசையை அவசியம் செய்ய வேண்டுமென ஆறுமுக நாவலர் தனது சைவ வினா விடை இரண்டாம் புத்தகத்தில் எடுத்துரைக்கிறார்.	Ippuraanangkalai padika thodangkiya pozhuthum padithu muditha pozhuthum maakesura poojaiyai avasiyam seyya veendumena aarumuka naavalar thanathu saiva vinaa vidai irandaam puthakathil eduthuraikiraar.
ஆனால் அதன் பிறகு நடந்த ஒரு வழமையான ஏலத்தில் வாங்குவோர் இல்லாமல் போக பீதி பரவி விலைகள் திடுமெனச் சரிந்தன.	Aanal athan piragu nadantha oru vazhamaiyaana eelathil vaanguvor illamal poga beethi paravi vilaikal thidumena sarinthana.
மா சீனாவில் சிஜியாங் மாநிலத்தில் அங்சூவில் செப்டம்பர் 10, 1964இல் பிறந்தார்.	Maa chinavil sijiyaang maanilathil angsoovil september 10, 1964il piranthaar.
அவருக்கு இரண்டு பிள்ளைகளும் பிறந்தனர்.	Ivaruku irandu pillaikalum piranthanar.
இவரின் குழந்தைகள் பற்றிய விடயங்கள் வெளியுலகு அறியாதவையாகும்.	Ivarin kuzhanthaikal patriya vidayangkal veliyulagu ariyaathavaiyaagum.
இது சமயத்தை முதன்மையாக வைத்துக்கொள்ளாமல் தமிழின் சுவையை முதன்மையாக வைத்துக்கொண்டு தொகுக்கப்பட்டவை.	Ithu samayathai muthanmaiyaaka vaithukollaamal thamizhan suvaiyai muthanmaiyaaka vaithukondu thogukkappattavai.
