కృష్ణాష్టమి నాడు భక్తులు పగలంతా ఉపవాసం ఉండి, సాయంత్రాం శ్రీకృష్ణుని పూజిస్తారు.	Krishnashtami naadu bhakthulu pagalantha vupavaasam vundi, saayanthram shreekrishnuni poogistharu.
తమ అభ్యర్ధనకు సాయిబాబా మిన్నకుండడాన్నిబట్టి బాబా మహిమలు బూటకమని తేలుతున్నదని నరసింహయ్య అన్నాడు.	tama abhyardhanaku Saibaba minnakundadaannibatti baabaa mahimalu bootakamani telutunnadani narasimhayya annaadu.
అంతేకాక హిందూమతం బుద్ధమతాని కంటే పురాతనమైంది.	antekaaka hindumatam buddhamataani kante puraatanamaindi.
అక్కడ ఉన్న సాక్ష్యులు మాత్రం ఆయన ఉద్దేశ్యపూర్వకంగానే జలపాతం లోకి ప్రవేశించినట్లు నివేదికలు తెలుపుతున్నాయి.	akkada vunna saakshyulu maatram aayana vuddhesyapoorvakangaane jalapaatam loki pravesinchinatlu nivedikalu teluputunnaayi.
పల్లె సీమల్లో ఉన్న జీవన రామణీయత, వారి గాథలు మొట్టమొదట సంకలనం చేసిన సహృదయుడు హాలుడు.	palle seemallo vunna jeevana raamaneeyata, vaari gaathalu mottamodata sankalanam chesina sahrudayudu haaludu.
వరి గడ్డి, చెరుకు పిప్పి, కొబ్బరి పీచు వంటి ఏ సేంద్రియ (కాలక్రమంలో కుళ్లి భూమిలో కలిసిపోయే) పదార్థంతోనైనా మల్చింగ్ చేయవచ్చు.	vari gaddi, cheruku pippi, kobbari peechu vanti ye sendriya (kaalakramamlo kulli bhoomilo kalisipoye) padaarthamtonainaa malching cheyavachchu.
ఓం హింగుళే పరమ హింగుళే అమృతరూపిణీ తనుశక్తి	om hingule parama hingule amrutaroopinee tanusakti
రాజనగరం (బుట్టాయగూడెం) - పశ్చిమ గోదావరి జిల్లాలోని బుట్టాయగూడెం మండలానికి చెందిన గ్రామము	Rajanagaram (Buttaayagoodem) - Paschima Godavari jillaaloni Buttaayagoodem mandalaaniki chendina graamamu
ఇస్మాయిల్	Ismail
అర్జునుడు కర్ణుడిని వధించ గలగడానికి ఇన్ని కారణాలు ఉన్నాయి.	Arjunudu Karnudini vadhincha galagadaaniki inni kaaranaalu vunnaayi.
కిస్టాపూర్ (రామడుగు) - కరీంనగర్ జిల్లాలోని రామడుగు మండలానికి చెందిన గ్రామము	Kistapor (Ramadugu) - Karimnagar jillaaloni Ramadugu mandalaaniki chendina graamamu
ఇందు విశ్వంలోని సకల వర్ణములు, రంగులు, అక్షరములు, విద్యలు, ధ్వనులు, బీజాక్షరములు ఉంటాయి.	indu visvamloni sakala varnamulu, rangulu, aksharamulu, vidyalu, dhvanulu, beegaaksharamulu vuntaayi.
వీరు సాధన ద్వారా ప్రావీణ్యత సాధిస్తారు.	veeru saadhana dvaaraa praaveenyata saadhistaaru.
షార్ట్-ఆర్మ్	short-arm
జంతువుల అడుగు జాడల ఆధారంగా అడవిలో వాటి కదలికల్ని గుర్తించడానికి ఉపయోగిస్తారు.	jantuvula adugu jaadala aadhaarangaa adavilo vaati kadalikalni gurtinchadaaniki vupayogistaaru.
నవంబరు 14 నుంచి లండను కేంద్రం రోజువారీ ప్రసారాలు ప్రారంభించింది.	November 14 nunchi landanu kendram rojuvaaree prasaaraalu praarambhinchindi.
తను నేతృత్వం వహించిన ప్రాజెక్టు విజయవంతంగా పూర్తవుతుంది.	tanu netrutvam vahinchina projectu vijayavantangaa poortavutundi.
హైడ్రోజన్ టెల్లురైడ్ ఒక అస్థిరమైన వాయువు,దానికి నీటిని చేర్చడం వలన హైడ్రోటెల్లురిక్ ఆమ్లం ఏర్పడును.	Hydrogen Telluride oka asthiramaina vaayuvu,daaniki neetini cherchadam valana Hydrotelluric aamlam erpadunu.
ఏది ఎలా ఉన్నప్పటికీ, బదులిచ్చే సూక్ష్మ పదార్ధాల అయిన అల్త్రాడిఫార్మబుల్, ఒత్తిడిని తట్టుకోలేని ట్రాన్స్ఫర్సోం వెసికల్స్ ఆధారంగా నూతన చికిత్స ఉత్పత్తులు అభివృద్ధి స్థాయిలో ఉన్నాయి మరియు ఇప్పటికే చాలా దేశాలలో మానవ ఉపయోగానికి ఆమోదించబడ్డాయి.43	yedi elaa unnappatikee, badulichchae sookshma padaardhaala ayina ultradeformable, vottidini tattukoleni transfersome vesicles aadhaarangaa nootana chikitsa utpattulu abhivruddhi sthaayilo vunnaayi mariyu ippatike chaalaa desaalalo maanava vvupayogaaniki aamodinchabaddaayi.43
వైశంపాయనుడు జనమేజయునకు చెప్పిన మహాభారత కథను సూతుడు శౌనకాది మునులకు చెప్పసాగాడు.	vaisampaayanudu janamejayunaku cheppina Mahabharata kathanu Sootudu saunakaadi munulaku cheppasaagaadu.
ఆ లేఖలో ఆమెను విశాఖ పట్నానికి కొంచెం దూరంలో ఉన్న బొర్రా గుహల దగ్గరికి ఒంటరిగా రమ్మని రాసి ఉంటుంది.	aa lekhalo aamenu Visakha Patnaniki konchem dooramlo vunna borra guhala daggariki vontarigaa rammani raasi vuntundi.
ఆకాశంలో ప్రయాణించే విమానాలకు, సముద్రంలో ప్రయాణించే నావలకు ఇలాంటి రహదారులు ఏవీ ఉండవు.	aakaasamlo prayaaninche vimaanaalaku, samudramlo prayaaninche naavalaku ilaanti rahadaarulu yevee undavu.
అవన్నీ కలిపిన ది సమ్మళితరాజ్యకూటమి.	avannee kalipina di sammalitaraajyakootami.
నిర్మాత: డి.శివప్రసాద్‌రెడ్డి	nirmaata: D.Sivaprasadreddy
1830ల నాటికే హైదరాబాదు నగరంలోకెల్లా ప్రముఖంగా, అన్ని మతాల వారూ జరుపుకునే పండుగల్లో ఇదీ ఒకటి.'	1830la naatike Hyderabadu nagaramlokellaa pramukhangaa, anni mataala vaaroo jarupukune pandugallo idee vokati.'
కెప్టెన్ ఆమెను పెళ్ళికి ఒప్పించగలుగుతాడా?	captain aamenu pelliki voppinchagalugutaadaa?
రోజువారీ అమరికలో మరియు అంతర్గత కణుపు చలనంలో అనిశ్చితత్వాలను అనుమతించడానికి కణుపు చుట్టూ ఉన్న సాధారణ కణజాలం యొక్క మొత్తాన్ని పొందుపర్చడం అవసరం.	rojuvaaree amarikalo mariyu antargata kanupu chalanamlo anischitatvaalanu anumatinchadaaniki kanupu chuttoo vunna saadhaarana kanajaalam yokka mottaanni ponduparchadam avasaram.
సుఖదుఃఖాలు శాశ్వతములు కావు కనుక వాటిని చూసి పొంగుట, కుంగుట తగదు.	sukhaduhkhaalu saasvatamulu kaavu kanuka vaatini choosi ponguta, kunguta tagadu.
ధర్మరాజు ఇరు పక్కలా మణిమయ పీఠముల మీద భీమార్జునులు కూర్చున్నారు.	Dharmaraju iru pakkalaa manimaya peethamula meeda Bheemaargunulu koorchvunnaaru.
అలాగే వారు ఆగ్నేయాసియాలోని ఇతర రాజ్యాలలో బుద్ధమతం విస్తరించడానికి సహకరించారు.	alaage vaaru aagneyaasiyaaloni itara raajyaalalo buddhamatam vistarinchadaaniki sahakarinchaaru.
ఎస్. రజియా బేగం	S. Rajiya Begam
“ప్రాస్పంద తైకం నయనం సుకేశ్యా మీనాహతం పద్మ మివాహి తామ్రం” - తామర కొలనులో విహరించుచున్న చేప తోక తగిలి కదిలిన ఎర్ర తామర పువ్వు వలె సీత ఎడమ కన్ను అదరెనట.	“praaspanda taikam nayanam sukesyaa meenaahatam padma mivaahi taamram” - taamara kolanulo viharinchuchunna chepa toka tagili kadilina yerra taamara puvvu vale seeta edama kannu adarenata.
నాఁడునాఁటికిఁ బ్రోది నవకంపుఁ దీఁగెల నునుఁబోద నెయ్యంబు నూలుకొలిపి	naadunaatiki brodi navakampu deegela nunuboda neyyambu noolukolipi
ఒక సీసం దిమ్మకు రంధ్రం చేసి అందులో ఏదైనా రేడియో ధార్మిక మూలకం తీసుకోవావి.	oka seesam dimmaku rAndhram chesi andulo yedainaa radio dhaarmika moolakam teesukovaavi.
ఇదే అంశంపై నాటి బ్రిటన్ ప్రధాని రామ్‌సే మెక్‌డొనాల్డ్ గాంధీకి రాసిన ఒక ఉత్తరంలో రామ్‌సే మెక్‌డొనాల్డ్ ‘‘మీ ఉద్దేశం హిందువులకూ, అంటరాని కులాలకూ కలిపి ఓటింగ్ ఉండాలని కాదు.	ide amsampai naati britan pradhaani raamse McDonald Gandhiki raasina oka uttaramlo Ramse McDonald ‘‘mee uddhesam hinduvulakoo, antaraani kulaalakoo kalipi voting undaalani kaadu.
