కృష్ణాష్టమి	krishnashtami
వారి	vaari
కుటుంబం	kutumbam
ఢిల్లీ	delhi
కి	ki
వచ్చేశారు	vachchesaaru
</s>	</s>
ఈ	ee
ఉపగ్రహ	upagraha
ప్రదక్షిణలను	pradakshinalanu
పనితీరును	paniteerunu
బెంగలూరులో	bengalurulo
ఉన్న	vunna
స్పేస్	space
క్రాఫ్ట్	craft
కంట్రోల్	control
కేంద్రము	kendramu
దానితో	daanito
నెట్‌వర్క్	network
అనుబంధమున్న	anubandhamunna
లక్నో	lucknow
మారిటస్	mauritius
రష్యాలోని	russialoni
బేర్‌స్లాక్	bearslake
ఇండోనేషియా	indonesia
లోని	loni
బయాక్	bayak
నార్వే	norvey
లోని	loni
స్వల్బార్డ్	svalbard
నెట్‌వర్కు	networku
కేంద్రాల	kendraala
సహకారంతో	sahakaaramto
పర్యవేక్షణచేస్తుంది	paryavekshanachestundi
</s>	</s>
అశోక్	ashok
శాస్త్రి	sastri
</s>	</s>
లోకమదేపని	lokamadepani
కోడై	kodai
కూయగా	kooyagaa
పలుకక	palukaka
ఉందువు	undhuvu
-	-
రచన	rachana
తాపీ	tapi
ధర్మారావు	dharmarao
</s>	</s>
పరిమాణము	parimaanamu
మరియు	mariyu
శక్తి	sakti
అనే	ane
ప్రమాణాలకు	pramaanaalaku
వేరు	veru
వేరు	veru
పేర్లు	perlu
ఇవ్వబడినవి	ivvabadinavi
మరియు	mariyu
అవి	avi
రెండు	rendu
ఒక	oka
దానితో	daanitho
ఒకటి	okati
సంబంధమును	sambandhamunu
కలిగి	kaligi
ఉండి	vundi
సమస్యను	samasyanu
పరిష్కరించుటకు	parishkarinchutaku
వేరొక	veroka
చర్య	charya
అవసరము	avasaramu
లేకుండా	lekundaa
చేస్తున్నాయి	chestunnaayi
</s>	</s>
షిరిడీలోని	shiridiloni
సాయిమందిరానికి	saayimandiraaniki
సగటుమ	sagatuma
రోజూ	roju
20	20
వేల	vela
మంది	mandi
సందర్శకులు	sandarsakulu
వస్తారని	vastaarani
</s>	</s>
ఎంకేపల్లి	enkepalli
రైకోడ్‌	raikod
-	-
మెదక్	medak
జిల్లాలోని	jillaaloni
రైకోడ్‌	raikod
మండలానికి	mandalaaniki
చెందిన	chendina
గ్రామము	graamamu
</s>	</s>
కృత్తిమ	kruttima
దారాలు	daaraalu
ఫైబర్	fiber
స్టార్చ్	starch
,	,
రబ్బరులను	rabbarulanu
తయారు	tayaaru
చెయ్యడం	cheyyadam
వలన	valana
కూడా	koodaa
కార్బొనైల్	carbonyle
సల్ఫైడ్	sulfide
గాఢత	gaadhata
వాతావరణంలో	vaataavaranamlo
పెరుగుతున్నది	perugutunnadi
</s>	</s>
వెల్లెస్లీ	wellesley
గవర్నర్	governor
జనరల్	general
గా	gaa
పదవి	padavi
చేపట్టేనాటి	chepattenaati
పరిస్థితులు	paristhitulu
కారణమని	kaaranamani
నెపము	nepamu
చెప్పుట	chepputa
సరికాదు	sarikaadu
</s>	</s>
ముస్లింల	muslimla
పండుగలు	pandugalu
</s>	</s>
నయాగరా	nayagara
బోర్డ్	board
ఆఫ్	of
కంట్రోల్	control
అధ్వర్యంలో	adhvaryamlo
1950లో	1950lo
జరిగిన	jarigina
ఒప్పందాన్ని	voppamdaanni
అనుసరించి	anusarinchi
నీటిని	neetini
క్రమబద్దీకరిస్తుంటారు	kramabaddeekaristuntaaru
</s>	</s>
తాగుడుకి	taaguduki
బానిసవ్వటం	baanisavvatam
వల్ల	valla
కాలేయం	kaaleyam
దెబ్బ	debba
తిని	tini
సిర్రోసిస్	cirrhosis
వ్యాధితో	vyaadhito
నలభై	nalabhai
రెండేళ్ళ	rendella
వయసులో	vayasulo
కన్ను	kannu
మూశాడు	moosaadu
</s>	</s>
లీలగారు	leelagaaru
తనకు	tanaku
కంపెనీ	company
ఇచ్చిన	ichchina
రెండు	rendu
మొత్తాలను	mottaalanu
కలిపి	kalipi
పూణేలో	punelo
ఒక	oka
ఫౌండేషన్	foundation
స్థాపించి	sthaapinchi
నిరుపేద	nirupeda
అమ్మాయిలను	ammaayilanu
దేశవిదేశాలకు	desavidesaalaku
పంపించి	pampinchi
చదివించడానికి	chadivinchadaaniki
గాను	gaanu
స్కాలర్	scholar
షిప్	ship
లను	lanu
ఏర్పాటు	yerpaatu
చేశారు	chesaaru
</s>	</s>
హరిగోపాల	harigopala
శర్మ	sarma
ఎన్	n
</s>	</s>
తమ	tama
అభ్యర్ధనకు	abhyardhanaku
సాయిబాబా	saibaba
మిన్నకుండడాన్నిబట్టి	minnakundadaannibatti
బాబా	baabaa
మహిమలు	mahimalu
బూటకమని	bootakamani
తేలుతున్నదని	telutunnadani
నరసింహయ్య	narasimhayya
అన్నాడు	annaadu
</s>	</s>
అంతేకాక	antekaaka
హిందూమతం	hindumatam
బుద్ధమతాని	buddhamataani
కంటే	kante
పురాతనమైంది	puraatanamaindi
</s>	</s>
అక్కడ	akkada
ఉన్న	vunna
సాక్ష్యులు	saakshyulu
మాత్రం	maatram
ఆయన	aayana
ఉద్దేశ్యపూర్వకంగానే	vuddhesyapoorvakangaane
జలపాతం	jalapaatam
లోకి	loki
ప్రవేశించినట్లు	pravesinchinatlu
నివేదికలు	nivedikalu
తెలుపుతున్నాయి	teluputunnaayi
</s>	</s>
పల్లె	palle
సీమల్లో	seemallo
ఉన్న	vunna
జీవన	jeevana
రామణీయత	raamaneeyata
వారి	vaari
గాథలు	gaathalu
మొట్టమొదట	mottamodata
సంకలనం	sankalanam
చేసిన	chesina
సహృదయుడు	sahrudayudu
హాలుడు	haaludu
</s>	</s>
వరి	vari
గడ్డి	gaddi
చెరుకు	cheruku
పిప్పి	pippi
కొబ్బరి	kobbari
పీచు	peechu
వంటి	vanti
ఏ	ye
సేంద్రియ	sendriya
కాలక్రమంలో	kaalakramamlo
కుళ్లి	kulli
భూమిలో	bhoomilo
కలిసిపోయే	kalisipoye
పదార్థంతోనైనా	padaarthamtonainaa
మల్చింగ్	malching
చేయవచ్చు	cheyavachchu
</s>	</s>
ఓం	om
హింగుళే	hingule
పరమ	parama
హింగుళే	hingule
అమృతరూపిణీ	amrutaroopinee
తనుశక్తి	tanusakti
</s>	</s>
రాజనగరం	rajanagaram
బుట్టాయగూడెం	buttaayagoodem
-	-
పశ్చిమ	paschima
గోదావరి	godavari
జిల్లాలోని	jillaaloni
బుట్టాయగూడెం	buttaayagoodem
మండలానికి	mandalaaniki
చెందిన	chendina
గ్రామము	graamamu
</s>	</s>
ఇస్మాయిల్	ismail
</s>	</s>
అర్జునుడు	arjunudu
కర్ణుడిని	karnudini
వధించ	vadhincha
గలగడానికి	galagadaaniki
ఇన్ని	inni
కారణాలు	kaaranaalu
ఉన్నాయి	vunnaayi
</s>	</s>
కిస్టాపూర్	kistapor
రామడుగు	ramadugu
-	-
కరీంనగర్	karimnagar
జిల్లాలోని	jillaaloni
రామడుగు	ramadugu
మండలానికి	mandalaaniki
చెందిన	chendina
గ్రామము	graamamu
</s>	</s>
ఇందు	indu
విశ్వంలోని	visvamloni
సకల	sakala
వర్ణములు	varnamulu
రంగులు	rangulu
అక్షరములు	aksharamulu
విద్యలు	vidyalu
ధ్వనులు	dhvanulu
బీజాక్షరములు	beegaaksharamulu
ఉంటాయి	vuntaayi
</s>	</s>
వీరు	veeru
సాధన	saadhana
ద్వారా	dvaaraa
ప్రావీణ్యత	praaveenyata
సాధిస్తారు	saadhistaaru
</s>	</s>
షార్ట్-ఆర్మ్	short-arm
</s>	</s>
జంతువుల	jantuvula
అడుగు	adugu
జాడల	jaadala
ఆధారంగా	aadhaarangaa
అడవిలో	adavilo
వాటి	vaati
కదలికల్ని	kadalikalni
గుర్తించడానికి	gurtinchadaaniki
ఉపయోగిస్తారు	vupayogistaaru
</s>	</s>
నవంబరు	november
14	14
నుంచి	nunchi
లండను	landanu
కేంద్రం	kendram
రోజువారీ	rojuvaaree
ప్రసారాలు	prasaaraalu
ప్రారంభించింది	praarambhinchindi
</s>	</s>
తను	tanu
నేతృత్వం	netrutvam
వహించిన	vahinchina
ప్రాజెక్టు	projectu
విజయవంతంగా	vijayavantangaa
పూర్తవుతుంది	poortavutundi
</s>	</s>
హైడ్రోజన్	hydrogen
టెల్లురైడ్	telluride
ఒక	oka
అస్థిరమైన	asthiramaina
వాయువు,దానికి	vaayuvu,daaniki
నీటిని	neetini
చేర్చడం	cherchadam
వలన	valana
హైడ్రోటెల్లురిక్	hydrotelluric
ఆమ్లం	aamlam
ఏర్పడును	erpadunu
</s>	</s>
ఏది	yedi
ఎలా	elaa
ఉన్నప్పటికీ	unnappatikee
బదులిచ్చే	badulichchae
సూక్ష్మ	sookshma
పదార్ధాల	padaardhaala
అయిన	ayina
అల్త్రాడిఫార్మబుల్	ultradeformable
ఒత్తిడిని	vottidini
తట్టుకోలేని	tattukoleni
ట్రాన్స్ఫర్సోం	transfersome
వెసికల్స్	vesicles
ఆధారంగా	aadhaarangaa
నూతన	nootana
చికిత్స	chikitsa
ఉత్పత్తులు	utpattulu
అభివృద్ధి	abhivruddhi
స్థాయిలో	sthaayilo
ఉన్నాయి	vunnaayi
మరియు	mariyu
ఇప్పటికే	ippatike
చాలా	chaalaa
దేశాలలో	desaalalo
మానవ	maanava
ఉపయోగానికి	vvupayogaaniki
ఆమోదించబడ్డాయి.43	aamodinchabaddaayi.43
</s>	</s>
వైశంపాయనుడు	vaisampaayanudu
జనమేజయునకు	janamejayunaku
చెప్పిన	cheppina
మహాభారత	mahabharata
కథను	kathanu
సూతుడు	sootudu
శౌనకాది	saunakaadi
మునులకు	munulaku
చెప్పసాగాడు	cheppasaagaadu
</s>	</s>
ఆ	aa
లేఖలో	lekhalo
ఆమెను	aamenu
విశాఖ	visakha
పట్నానికి	patnaniki
కొంచెం	konchem
దూరంలో	dooramlo
ఉన్న	vunna
బొర్రా	borra
గుహల	guhala
దగ్గరికి	daggariki
ఒంటరిగా	vontarigaa
రమ్మని	rammani
రాసి	raasi
ఉంటుంది	vuntundi
</s>	</s>
ఆకాశంలో	aakaasamlo
ప్రయాణించే	prayaaninche
విమానాలకు	vimaanaalaku
సముద్రంలో	samudramlo
ప్రయాణించే	prayaaninche
నావలకు	naavalaku
ఇలాంటి	ilaanti
రహదారులు	rahadaarulu
ఏవీ	yevee
ఉండవు	undavu
</s>	</s>
అవన్నీ	avannee
కలిపిన	kalipina
ది	di
సమ్మళితరాజ్యకూటమి	sammalitaraajyakootami
</s>	</s>
నిర్మాత	nirmaata
డి.శివప్రసాద్‌రెడ్డి	d.sivaprasadreddy
</s>	</s>
1830ల	1830la
నాటికే	naatike
హైదరాబాదు	hyderabadu
నగరంలోకెల్లా	nagaramlokellaa
ప్రముఖంగా	pramukhangaa
అన్ని	anni
మతాల	mataala
వారూ	vaaroo
జరుపుకునే	jarupukune
పండుగల్లో	pandugallo
ఇదీ	idee
ఒకటి	vokati
</s>	</s>
కెప్టెన్	captain
ఆమెను	aamenu
పెళ్ళికి	pelliki
ఒప్పించగలుగుతాడా	voppinchagalugutaadaa
</s>	</s>
రోజువారీ	rojuvaaree
అమరికలో	amarikalo
మరియు	mariyu
అంతర్గత	antargata
కణుపు	kanupu
చలనంలో	chalanamlo
అనిశ్చితత్వాలను	anischitatvaalanu
అనుమతించడానికి	anumatinchadaaniki
కణుపు	kanupu
చుట్టూ	chuttoo
ఉన్న	vunna
సాధారణ	saadhaarana
కణజాలం	kanajaalam
యొక్క	yokka
మొత్తాన్ని	mottaanni
పొందుపర్చడం	ponduparchadam
అవసరం	avasaram
</s>	</s>
సుఖదుఃఖాలు	sukhaduhkhaalu
శాశ్వతములు	saasvatamulu
కావు	kaavu
కనుక	kanuka
వాటిని	vaatini
చూసి	choosi
పొంగుట	ponguta
కుంగుట	kunguta
తగదు	tagadu
</s>	</s>
ధర్మరాజు	dharmaraju
ఇరు	iru
పక్కలా	pakkalaa
మణిమయ	manimaya
పీఠముల	peethamula
మీద	meeda
భీమార్జునులు	bheemaargunulu
కూర్చున్నారు	koorchvunnaaru
</s>	</s>
అలాగే	alaage
వారు	vaaru
ఆగ్నేయాసియాలోని	aagneyaasiyaaloni
ఇతర	itara
రాజ్యాలలో	raajyaalalo
బుద్ధమతం	buddhamatam
విస్తరించడానికి	vistarinchadaaniki
సహకరించారు	sahakarinchaaru
</s>	</s>
ఎస్	s
రజియా	rajiya
బేగం	begam
</s>	</s>
ప్రాస్పంద	praaspanda
తైకం	taikam
నయనం	nayanam
సుకేశ్యా	sukesyaa
మీనాహతం	meenaahatam
