ചാൾസ് തടാകം	Charles thadakom
ഗാന്ധി മെമ്മോറിയൽ മ്യൂസിയം, മധുര	Gandhi Memorial Museum, Madurai
ഖുർ‌ആൻ അദ്ധ്യാപകൻ എന്നതോടൊപ്പം തന്നെ ഉമർ മുഖ്താർ മരുഭൂമിയിലെ യുദ്ധതന്ത്രത്തിൽ നൈപുണ്യമുള്ള ആളുമായിരുന്നു.	Quran adyapakan ennathodoppam thanne Ummar Mukthar marubhoomiyile yudhathandrathil naipunyamulla aalumairunnu.
ആനമുട്ട	aanamutta
ശിബ്പൂർ ഓംകാർ നൃത്ത സംഗീത വിദ്യാലയം നടത്തുന്നു.	Shibpoor Omkaar nirtha sangeetha vidyalayam nadathunnu.
‘വെളുത്തവർ‘ എന്നാണ് അവരെ വിളിച്ചിരുന്നത്.	veluthavar' yennanu avare vilichirunnath.
ഒരു തണ്ടിലെ ഓരോരോ ഇലകളായി ഉണങ്ങിക്കൊണ്ട്, രോഗബാധിതമായതിന്റെ ആദ്യ ലക്ഷണം, അഞ്ചുദിവസത്തിനുള്ളിൽ തന്നെ കാണിക്കുന്നു.	oru thandile oororo elakalaye unangikondu, rogabadhithamayathinte adhya lakshanam, anjudivasathinullil thanne kanikkunnu.
പത്തനംതിട്ട താലൂക്കിൽ ചെറുകോൽ നെടുമ്പയിൽ കൊച്ചുകൃഷ്ണനാശാൻ (1756-1812) എന്ന ജ്യോതിശ്ശാസ്ത്രജ്ഞൻ എഴുതിയ ആറൻമുളവിലാസം ഹംസപ്പാട്ടിൽനിന്ന് ആ ശിഷ്യപരമ്പരയുടെ ഏകദേശജ്ഞാനം ലഭിക്കും.	Pathanamthita talukkil Cherukole Nedumbayil Kochukrishnanashan (1756-1812) yenna jyothishasthrajnjan yezhuthiya Aranmulavilasam Hamsapattilninnu aa shishyaparambarayude yekadeshanjanam labhikum.
ഇന്റർനെറ്റ് മൂവി ഡാറ്റാബേസിൽ നിന്ന് ലയൺ ഫ്യൂച്ട്വാൻഗർ	Internet movie databasil ninnu Lion Feuchtwanger
പിന്നീട് അർജ്ജുനൻ സുഭദ്രയെ തട്ടിക്കൊണ്ടുപോകുകയായിരുന്നില്ല എന്ന സ്ഥാപിക്കാനായിരുന്നു ശ്രീകൃഷ്ണൻ ഈ വിദ്യ ഉപയോഗിച്ചത്.	pinnedu Arjunan Subhadraye thattikondupokukayayirunilla yennu sthapikkanayirunnu Sreekrishnan ee vidhya upayogichathu.
കേരളത്തിൽ ഇടതുമുന്നണിയിലെ രണ്ടാമത്തെ വലിയ കക്ഷിയാണ് സി.	Keralathil edathumunnaniyile randamathe valiya kakshiyanu C.
ഭൂട്ടാനിലും ഇന്ത്യയിൽ ഹിമാലയ പ്രദേശങ്ങളിലും ആസ്സാമിലും കേരളത്തിന്റെ ചില ഭാഗങ്ങളിൽ , പ്രത്യേകിച്ച് മലബാർ പ്രദേശങ്ങളിലും സാധാരണ കാണപ്പെടുന്നു.	Bhutanilum Indiayil Himalaya pradeshangalilum Assamilum Keralathinte chila bhagangalil , prethyekichu Malabar pradeshangalilum sadharna kanapedunnu.
*ക്വീൻസ്‌ലാന്റിലെ സംരക്ഷിതപ്രദേശങ്ങൾ	*Queensandile samrakshithapradeshangal
ഡയലോഗ് സെന്ററിന് കീഴിൽ സംഘടിപ്പിച്ച ദിശ കൾച്ചറൽ എക്സിബിഷൻ ശ്രദ്ധേയമായിരുന്നു.	dialogue centerinu keezhil samghadippicha disha cultural exhibition sradheyamayirunnu
ഗിയർബോക്സ് നിർമ്മിക്കുന്നതിലുണ്ടായ സാങ്കേതികതടസ്സം ജർമൻ സഹായത്തോടെ മറികടന്നു.	gearbox nirmikkunnathilundaya sangethikathadasam German sahayathode marikadannu.
ഈ ചിത്രത്തിലൂടെ എസ്.	ee chithrathilude S.
ഇന്നത്തെ പാശ്ചാത്യരീതിയിലുള്ള വർഷക്കണക്ക് ക്രിസ്തുവിന്റെ ജനനത്തിനുശേഷമുള്ള വർഷങ്ങൾ എണ്ണാൻ പുരാതനകാലം മുതൽ നടന്ന ശ്രമത്തിന്റെ ഭാഗമാണ്‌.	ennathe pashchathyareethiyilulla varshakkanakku christhuvinte jananathinusheshamulla varshangal yennan purathanakalam muthal nadanna sramathinte bhagamanu.
മിസൈലുകളും ബോംബുകളും സുരക്ഷിതമായി ലക്ഷ്യസ്ഥാനത്ത് എത്തിക്കുവാനും, കൃത്യമായി പ്രയോഗിക്കാനും ഡ്രോണുകൾക്കു സാധിക്കും.	Missilukalum bombukalum surakshithamayi lakshyasthanathu yethikkuvanum, krithyamayi prayogikkanum dronukalku sadhikkum.
ഇംഗ്ലിഷിലും മലയാളത്തിലും ശാസ്ത്രലേഖനങ്ങളും പരമ്പരകളും എഴുതുന്നു. കർട്ടൂണിസ്റ്റാണ്. ശാസ്ത്രപ്രചാരകനാണ്. പോപ്പുലർ സയൻസ് പുസ്തകങ്ങളുടെ കർത്താവ്.	Englishilum Malayalathilum shasthralekhanangalum parambarakalum yezhuthunnu. Cartoonistanu. Shasthrapracharakananu. Popular science pusthakangalude karthavu.
രചയിതാവായ അബുൾ കാസിം ഫിർദോസി, ഇറാനിലെ മശ്‌ഹദിനടുത്തുള്ള തുസ് എന്ന സ്ഥലത്താണ് ഇദ്ദേഹം ജനിച്ചത്.	rachithavaya Abul Qasim Firdowsi, Iranile Mashadinaduthulla Tus yenna sthalathanu edheham janichathu.
രണ്ടു കുട്ടികളേയും നെപോളിയൻ സ്വീകരിച്ചെങ്കിലും ബോണപാർട്ട് കുടുംബാംഗങ്ങളെന്ന നിലക്കുള്ള അവകാശങ്ങളൊന്നും നല്കിയില്ല.	randu kuttikaleyum Nepolean sveekarichengilum Bonaparte kudumbangangalenna nileykulla avakashangalonnum nalkiyilla.
കുട്ടികളിൽ വിജ്ഞാനത്തോടൊപ്പം മൂല്യബോധവും സർഗാത്മകതയും സാമൂഹികാവബോധവും വളർത്തിയെടുക്കുവാനായി രൂപം നൽകിയ കൂട്ടായ്മയാണ് മലർവാടി ബാലസംഘം.	kuttikalil vijnjanathodoppam moolyabodhavum sargathmakathayum samuhikavabodhavum valarthiyedukkuvanayi roopam nalkiya koottaymayanu Malarvadi Balasangam.
മലബാറിലെ അനുഷ്ഠാന കലകളായ തെയ്യം, തിറ, ബലിക്കളം എന്നിവയെക്കുറിച്ച് നിരവധി പഠനങ്ങൾ നടത്തിയിരുന്നു.	Malabarile anushttana kalakalaya Theyyam, Thira, Balikkalam yennivayekurichu niravadhi padanangal nadathiyirunnu.
പിതാവ്‌ റെയിൽവേയിൽ ടിക്കറ്റ്‌ എക്സാമിനറായിരുന്നു.	pithavu railwayil ticket examinerayirunnu.
1904- ൽ വരാണസിയിൽ ജനിച്ചു, ജനനത്തിയ്യതി കൃത്യമായി അറിവില്ല.	1904- il Varanasiyil janichu, jananathiyathi krithyamayi arivilla.
സ്കൂൾ ജീവിതം ആസ്പദമാക്കി ബിബിസി നിർമ്മിച്ച ‘വാട്ടർലൂ റോഡ്’ (2009) എന്ന നാടകീയ പരമ്പരയിലെ ലിൻഡ്സേ ജെയിംസ് എന്ന പരുക്കൻ പെൺകുട്ടി, ജോൺ ബ്രെയിനെയുടെ ‘റൂം അറ്റ് ദ ടോപ്പ് ‘(2012) എന്ന നോവലിനെ ആസ്പദമാക്കി ‘ബിബിസി ഫോർ’ ചാനൽ അവതരിപ്പിച്ച ഒരു ടെലിവിഷൻ പരമ്പരയിലെ സൂസന് ബ്രൌൺ, ജൂലിയൻ ഫെല്ലോവ്സിന്റെ നാലു ഭാഗങ്ങളുള്ള ‘ടൈറ്റാനിക്’ (2012) എന്ന മിനി പരമ്പരയിലെ ആനീ ഡെസ്മോണ്ട്, ‘ഡാൻസിംഗ് ഓണ് ദ എഡ്ജ്’ (2013) എന്ന സ്റ്റീഫൻ പോളിയാക്കോഫിന്റെ യഥാർത്ഥ നാടക പരമ്പരയിലെ റോസീ എന്നിവ ജെന്ന കോൾമാന്റെ ഏറെ ശ്രദ്ധേയത നേടിയ കഥാപാത്രങ്ങളായിരുന്നു.	school jeevitham aspadhamakki BBC nirmicha 'Waterlu Road' (2009) yenna nadakiya parambarayile Lindse James yenna parukkan penkutty, John Braineyude 'Room at the Top '(2012) yenna noveline aspadhamakki 'BBC Four' channel avatharipicha oru television parambarayile Susanu Brown Julian Fellowsinte naalu bhagangalulla 'Titanic' (2012) yenna mini parambarayile Annie Desmond, 'Dancing on the edge' (2013) yenna Stephen Poliakoffinte yathartha nadaka parambarayile Rosy yenniva jenna colemante yere sradheyatha nediya kadhapathrangalayirunnu.
വളർച്ചയുടെ തുടക്കത്തിൽ തണൽ വേണമെങ്കിലും പിടിച്ചുകിട്ടിയാൽ വളരെ വേഗം വളർന്ന് അഞ്ചാം വർഷമാവുമ്പോഴേക്കും കായ്ച്ച് തുടങ്ങും.	valarchayude thudakathil thanal venamengilum pidichukettiyal valare vegam valarnu anjam varshamavumbozhekum kaychu thudangum.
മെസിഞ്ചറിൽ ഉണ്ടായിരുന്നതുപോലെയുള്ള സ്പെക്ട്രോമീറ്ററുകളുടെ നിര മാപ്പെർ പേടകത്തിൽ ഉണ്ടായിരിക്കും, ഇവയുപയോഗിച്ച് ഗ്രഹത്തെ ഇൻഫ്രാറെഡ്, അൾട്രാവയലറ്റ്, എക്സ്-കിരണം, ഗാമ കിരണം തുടങ്ങി വ്യത്യസ്ത തരംഗദൈർഘ്യങ്ങളിൽ പഠനവിധേയമാക്കുകയും ചെയ്യും.	Messengeril undayirunnathupoleyulla spectrometerukalude nira Mapper pedakathil undayirikkum, evayupayogichu grahaththe infrared, ultraviolet, X-kiranom, gama kiranom thudangi vyathyastha tharangadairkhyangalil padanavidheyamakkukayum cheyyum.
മഹാഭാരത യുദ്ധത്തിന് ശേഷം പട്ടാഭിഷേകം ചെയ്യപ്പെടുന്നതും അർജുനനാണ്.	Mahabharatha yudhathinu shesham pattabhishekam cheyyapedunnathum Arjunananu.
പ്രദേശത്തെ ഏറ്റവും ഉയർന്ന സ്ഥലത്തെ വലിയ പറമ്പ് അല്ലെങ്കിൽ നിരപ്പ് എന്നൊക്കെ പറയാറുണ്ട് .	predeshathe yettavum uyarnna sthalathe valiya parambu allengil nirappu yennokke parayarundu .
വേനൽക്കാലത്ത് പൂക്കുകയും വസന്തം കഴിയുന്നതോടെ ഇല പൊഴിക്കുകയും ചെയ്യുന്ന ഒരു മരമാണ് അലസിപ്പൂമരം അഥവാ ഗുൽമോഹർ.	venalkalathu pookukayum vasantham kazhiyunnathode ela pozhiyukayum cheyyunna oru maramanu alasipoomaram athava Gulmohar.
അവർ വഹബ് ഇബ്ൻ അബ്ദുൽ മനാഫ് ഇബ്ൻ സുഹ്റ ഇബ്ൻ കിലാബ് ഇബ്ൻ മുർറത്തിന്റെ മകളായി മക്കയിൽ ഖുറൈഷ് ഗോത്രത്തിലെ ബനൂ സുഹ്റ കുടുംബത്തിൽ ജനിച്ചു.	avar Vahab Eben Abdul Manaf Eben Suhra Eben Kilab Eben Murathinte makalayi Meccayil Khuraish gothrathile Banu Suhra kudumbathil janichu.
നിലവിലുള്ള ശിലകളുടെ ശിഥിലീകരണമാണ് അവസാദശിലകളുടെ ഉദ്ഭവത്തിനു നിദാനം.	nilavilulla shilakalude shithileekaranamanu avasaadashilakalude uthbhavathinu nidhanam.
കുരിശപ്പം എന്ന പേരുവന്നത്‌ ഓശാന ഞായറാഴ്ച ലഭിക്കുന്ന കുരുത്തോല മുറിച്ചു കുരിശാകൃതിയിൽ ഈ അപ്പത്തിനു മുകളിൽ വയ്ക്കുന്നതിനാലാണ്‌.	Kurishappam yenna peruvannathu Oshana njayarazhcha labhikkunna kuruthola murichu kurishakrithiyil ee appathinu mukalil vaykkunnathinalanu.
