તેઓ તેમની દુરંદેશી, વાકપટ્ટુતા, વ્યક્તિત્વ માટે ઓળખાતા હતા.	teo temanee doorandeshee, vaakpatutaa, vyaktitva maate olakhaataa hataa.
ગદબ પણ ખોરાકનો એક પ્રચલિત વિકલ્પ છે; મોટા ભાગના ગિનિ પિગ્સ જ્યારે તેમને અપાય ત્યારે મોટા પ્રમાણમાં ગદબ ખાશે, જો કે પુખ્ત ગિનિ પિગને ગદબ ખવડાવવા અંગે થોડો વિવાદ છે.	gadaba pana khoraakano eka pracalita vikalpa che; motaa bhaaganaa gini pigsa jyaare temane apaaya tyaare motaa pramaanamaam gadaba khaashe, jo ke pukhta gini pigane gadaba khavadaavavaa ange thodo vivaada che.
અન્ય મફત સોફ્ટવેર કે જે તેમણે લખ્યા કે ભાગીદારીમાં લખ્યા તેમાં યુઝનેટ કેશિંગ સોફ્ટવેર એનએનટીપીકેશ અને વેબ-આધારિત સર્ચ એન્જિન્સ માટેની કમાન્ડ-લાઈન, સર્ફ્રોનો સમાવેશ થાય છે.	anya mafata softavera ke je temane lakhyaa ke bhaageedaareemaam lakhyaa temaam yujhaneta keshinga softavera enaenateepeekesha ane veba-aadhaarita sarca enjinsa maatenee kamaanda-laaeena, sarfrono samaavesha thaaya che.
ફુદીનો એ મેન્થા કુળની બારમાસી, સુગંધીદાર વનસ્પતિ છે.	fudeeno e menthaa kulanee baaramaasee, sugandheedaara vanaspati che.
એમનાથી હું એજ વખતે અભિભૂત થઈ ગયો.	emanaathee hum eja vakhate abhibhoota thaee gayo.
વાત, પિત્ત, કફ દોષનું પ્રમાણ નક્કી ‘’સ્‍ટેટસ ક્‍વાન્‍ટીફાઇ’’ કરવું કઠિન કામ અવશ્‍ય છે.	vaata, pitta, kafa doshanum pramaana nakkee "s‍tetasa k‍vaan‍teefaai" karavum kathina kaama avash‍ya che.
આમ છતાં, જ્યારે કેટલાક સ્થાનિક છોકરાઓએ મેરિ અને મોલિની મજાક ઉડાવી ત્યારે ખાન અને એકબીજા પ્રત્યેનો ટીમનો ગુસ્સો દૂર થઇ ગયો.	aama chataam, jyaare ketalaaka sthaanika chokaraaoe meri ane molinee majaaka udaavee tyaare khaana ane ekabeejaa pratyeno teemano gusso doora thai gayo.
દોસ્ત	dosta
"નાણાકીય સ્થિરતાનો ફાળો", શરૂઆતમાં એક સાફ દરે હોઇ શકે, આ ત્યારબાદ શિષ્ટ થઇ જેથી જોખમી વ્યાવસાયને વધુ ચૂકવી શકાય.	"naanaakeeya sthirataano faalo", sharooaatamaam eka saafa dare hoi shake, aa tyaarabaada shishta thai jethee jokhamee vyaavasaayane vadhu cookavee shakaaya.
દર્દીના માતાપિતા સામાન્યત: કોઈ જનીનિક ખામી ધરાવતા હોતા નથી.	dardeenaa maataapitaa saamaanyata: koe janeenika khaamee dharaavataa hotaa nathee.
આ માટે તેમણે ભારતાના કોઈ પણ રાજનૈતિક પક્ષ કે ચૂંટાયેલા ભારતીય પ્રતિનિધીઓની સલાહ લીધી નહીં.	aa maate temane bhaarataanaa koe pana raajanaitika paksha ke coontaayelaa bhaarateeya pratinidheeonee salaaha leedhee naheem.
વિશ્વ શરણાર્થી દિવસ	vishva sharanaarthee divasa
લૂઓપાનનો એક ઉપયોગ ક્વિનો પ્રવાહ ચકાસવાનો છે.	looopaanano eka upayoga kvino pravaaha cakaasavaano che.
દક્ષિણા ન મળે તો તેઓ ખાશે શું?	dakshinaa na male to teo khaashe shum?
તેમણે એ પણ ધ્યાન દોર્યું હતું કે કેન્દ્રીય સરકારે પોતે જ અમેરિકી - લી પી.	temane e pana dhyaana doryum hatum ke kendreeya sarakaare pote ja amerikee - lee pee.
આ એક પ્રકારનો પાછલી તારીખનો ચેક હોય છે કે જેની પાકતી મુદ્દત 270 દિવસ કરતા વધારે નથી હોતી.	aa eka prakaarano paachalee taareekhano ceka hoya che ke jenee paakatee muddata 270 divasa karataa vadhaare nathee hotee.
કેટલીક ધૂપ ઘડિયાળો ખૂબસુંદર ટ્રેમાં મૂકવામાં આવતી; ખુલ્લા-તળિયાવાળી ટ્રે પણ વપરાતી હતી, જેથી સુશોભિત ટ્રેની સાથે સાથે વજનિયાંનો ઉપયોગ પણ થઈ શકે.	ketaleeka dhoopa ghadiyaalo khoobasundara tremaam mookavaamaam aavatee; khullaa-taliyaavaalee tre pana vaparaatee hatee, jethee sushobhita trenee saathe saathe vajaniyaanno upayoga pana thaee shake.
જોકે જાહેરમાં તેઓ વાઈસયરોયની કાર્યકારીણીમાં લોકોના પ્રતિનિધીઓની સંખ્યા વધરવા ઉપરાંત ભારતને ટૂંકા ગાળામાં સ્વરાજ્ય મળી શકશે તેવી કોઈ મક્કમ યોજનાની જાહેરાત ન કરી શક્યાં.	joke jaaheramaam teo vaaeesayaroyanee kaaryakaareeneemaam lokonaa pratinidheeonee sankhyaa vadharavaa uparaanta bhaaratane toonkaa gaalaamaam svaraajya malee shakashe tevee koe makkama yojanaanee jaaheraata na karee shakyaam.
સાથે જ, કુદરતી રબર એટલું લવચીક હોય છે કે તેનાં પર જ્યારે બળ લગાવવામાં આવે છે ત્યારે, કુદરતી રબર પર જ્યારે તે જમીન પર ગાલીચાની જેમ હોય છે ત્યારે તેને જમીન પરથી ખેંચવું અઘરૂં પડે છે.	saathe ja, kudaratee rabara etalum lavaceeka hoya che ke tenaam para jyaare bala lagaavavaamaam aave che tyaare, kudaratee rabara para jyaare te jameena para gaaleecaanee jema hoya che tyaare tene jameena parathee khen̄cavum agharoom pade che.
તે અધ્યાત્મના વિવિધ પાસાંઓને પણ રજૂ કરે છે.	te adhyaatmanaa vividha paasaamone pana rajoo kare che.
કબૂલાત ઉપરાંતની જામીનગીરીઓને મુખ્યત્વે બે શ્રેણીમાં વહેંચવામાં આવે છે જેમનાં નામ જામીનગીરી હિતો અને કબૂલાત ઉપરાંતની જામીનગીરીઓની બારોબાર તબદિલી કહેવામાં આવે છે.	kaboolaata uparaantanee jaameenageereeone mukhyatve be shreneemaam vahen̄cavaamaam aave che jemanaam naama jaameenageeree hito ane kaboolaata uparaantanee jaameenageereeonee baarobaara tabadilee kahevaamaam aave che.
અંતે ૧૨ વર્ષ પછી સિદ્ધરાજ પોતાના ભત્રીજાને ગાદીની લાલચ આપીને છળકપટથી જુનાગઢ પર હુમલો કરે છે અને રા'ખેંગારને પરાજિત કરે છે અને તેનું માથું કાપી નાખે છે. તે રા'ખેંગાર ના બંને પુત્રોને પણ મારી નાખે છે.	ante 12 varsha pachee siddharaaja potaanaa bhatreejaane gaadeenee laalaca aapeene chalakapatathee junaagadha para humalo kare che ane raakhengaarane paraajita kare che ane tenum maathum kaapee naakhe che. te raakhengaara naa banne putrone pana maaree naakhe che.
પરજયે સર જસવંત હાઈસ્કુલ ને દેશની ૧૦ સર્વોતકૃષ્ટ શાળામાં ગણી હતી.	parajaye sara jasavanta haaeeskula ne deshanee 10 sarvotakrushta shaalaamaam ganee hatee.
એક અન્ય મત અનુસાર કઠણ અને સ્વાદવગરના લાડવાને પણ લાકડશી કહે છે.	eka anya mata anusaara kathana ane svaadavagaranaa laadavaane pana laakadashee kahe che.
ચંદ્રવંશમાં જન્મેલ વ્યક્તિને ચંદ્રવંશી કહેવાય છે.	candravanshamaam janmela vyaktine candravanshee kahevaaya che.
ઘણા નાટક ક્વાર્ટો (quarto) વર્ઝન્સમાં આવી ગયા હતા- આ પ્રકારના પુસ્તકો પેપરની શીટને બે વખત ફોલ્ડ કરી ચાર પરત બનાવી બનાવાય છે.	ghanaa naataka kvaarto (quarto) varjhansamaam aavee gayaa hataa- aa prakaaranaa pustako peparanee sheetane be vakhata folda karee caara parata banaavee banaavaaya che.
સૌરભ શાહે તેમના જીવન પર આધારિત પુસ્તક સર્જન-વિસર્જન નું સંપાદન કર્યું છે.	saurabha shaahe temanaa jeevana para aadhaarita pustaka sarjana-visarjana num sampaadana karyum che.
નાશવંત એવા દેહ માટે શોક કરવો વૃથા છે.	naashavanta evaa deha maate shoka karavo vruthaa che.
સેલિક્સ આલ્બા 'વિટેલ્લિના' (ગોલ્ડન વિલો ; સમાનાર્થી સેલિક્સ અલ્બા વાર. (var.) વિટેલિના (એલ.) સ્ટોક્સ) આ જાતિનો બગીચામાં ઉછેર તેની કળી માટે કરીને કરવામાં છે, જે ભૂરા રંગની થવાના પહેલા 1-2 વર્ષ સુધી સોનેરી પીળા રંગની રહેતી હોય છે.	seliksa aalbaa 'vitellinaa' (goldana vilo ; samaanaarthee seliksa albaa vaara. (var.) vitelinaa (ela.) stoksa) aa jaatino bageecaamaam uchera tenee kalee maate kareene karavaamaam che, je bhooraa ranganee thavaanaa pahelaa 1-2 varsha sudhee soneree peelaa ranganee rahetee hoya che.
કેટલાક ફિલ્મ દિગ્દર્શકો સાથેની તેમની જોડીએ હંમેશા સફળ સાઉન્ડટ્રેક્સ આપ્યા છે, જેમાં મુખ્યત્વે મણિ રત્નમનો સમાવેશ થાય છે જેમની સાથે તેઓ રોજા , અને અન્ય સફળ ફિલ્મોથી કામ કરે છે, અને દિગ્દર્શ એસ.	ketalaaka filma digdarshako saathenee temanee jodeee hammeshaa safala saaundatreksa aapyaa che, jemaam mukhyatve mani ratnamano samaavesha thaaya che jemanee saathe teo rojaa , ane anya safala filmothee kaama kare che, ane digdarsha esa.
