තන්ත්‍රයන්ට අනුව මහා තත්ත්වය (පරබ්‍රහ්මන්) ද්විත්වයන් මත රඳා පවතී.	Thanthrayanta anuwa maha thathwaya (parabrahman) dwithwayan matha randa pawathee.
බිම්මල් වගාවේ සාර්ථකත්වය රඳා පවතින්නේ උසස් ගුණාත්මකභාවයෙන් යුත් බීජ පැකට් තෝරාගැනීම තුළින්ය.	Bimmal wagawe sarthakathwaya randa pawathinne usas gunathmakabhawayen yuth beeja packet thoraganeema thulinya.
මට මෙය සොයා දෙන්න.	Mata meya soya denna.
මේ ආකාරයට රෝග සුව කර ගැනීම සඳහා අභිචාරාත්මක ප‍්‍රතිකාරයන්ට නැඹුරු වීම කෙරෙහි බලපාන සාධක ඔවුන්ගේ සංස්කෘතිය හා බැඳී පවතින බව පෙනේ.	Me akarayata roga suwa kara ganeema sandaha abhicharathmaka prathikarayanta namburu weema kerehi balapana sadhaka owunge sanskruthiya ha bandee pawathina bawa pene.
මෙසේ සමාජයේ වැදගත් ස්ථානයක් හිමි කර ගන්නා පවුල තුළ මව,පියා,දරුවන් ආදී ලෙස කොටස් කීපයක් සිටින අතර ඔවුනොවුන් කෙරෙහි පවතින්නා වූ අන්‍යෝන්‍ය යුතුකම් සහ වගකීම් මූලික කර ගෙන ඒ කී පවුල් සංස්ථාව ඉදිරියට ගමන් කරනු ලබයි.	Mese samajaye wedagath sthanayak himi kara ganna pawula thula mawa,piya,daruwan adee lesa kotas keepayak sitina athara ownowun kerehi Pawathinna woo anyonya yuthukam saha wagakeem moolika kara gena e kee pawul sansthawa idiriyata gaman karanu labai.
අනෙකුත් ස්ථාන පහ තෝරා ගනු ලබන්නේ සුදුසුකම් ලැබීම සඳහා වන ප්‍රාදේශීය තරග මාලාවක් තුලින් වන අතර, එක් එක් ජාත්‍යන්තර ක්‍රිකට් කවුන්සිල (අයිසීසී) ප්‍රවර්ධන පෙදෙස් (අප්‍රිකාව, ඇමරිකාවන්, ආසියාව, නැගෙනහිර ආසියානු-ශාන්තිකර, සහ යුරෝපය) සඳහා එත් ස්ථානය බැගින් ප්‍රදානය කෙරෙයි.	Anekuth sthana paha thora ganu labanne sudusukam labeema sandaha wana pradeshiya tharanga malawak thulin wana athara, ek ek jathyanthara Cricket councila (icc) prawardena pedes (africa, americawan, asia, negenahira asia-shanthikara, and europe) sandaha ek sthanaya begin pradhanaya kerei.
නමුත් මෙය එකල බොහෝ දෙනා දන්නා කරුණක් වූ බැවින් නව සොයා ගැනීමක් වූවේ නැත.	Namuth meya ekala boho dena danna karunak woo bewin nawa soya ganeemak woowe netha.
ඔහු ගත් ක‍්‍රියා මාර්ගයේ ඵලය දකින්නට පෙර ඔහු ඝාතනය කරනු ලැබුවද බංගලාදේශ රජය සියා- උර්- රහමන්ගේ අදහස අනුව දිගින් දිගටම කටයුතු කිරීම නිසා සහයෝගිතාවය උදෙසා ‘සාක් ’ නම් වූ සංවිධානය බිහිකර ගත හැකි විය.	Ohu gath kriya margaye palaya dakinnata pera ohu ghathanaya karanu labuwada bangladesha rajaya siya- ur- rahamange adahasa Anuwa digin digatama katayuthu kireema nisa sahayogithawaya udesa 'saarc' nam woo sanwidhanaya bihi kara gatha heki wiya.
ගම්සන්සාහි සිටගත් ශෛලමය මෛත්‍රෙව බෝධිසත්ත්ව ප්‍රතිමාව, කොරියාවේ ජාතික කෞතුකාගාරය, සෝල්	Gamsansahi sitagath shailamaya maithrew bodhisathwa prathimawa, koriyawe jathika kauthukagaraya, soal
මුද්‍රිත මාධ්‍යයේ බොහෝ අංශ මෙන් ලුහුඩු දැන්වීම් ද අන්තර්ජාලයට ඇතුලුවී ඇත.	Mudritha madyaye boho ansha men luhundu danweem da antharjalayata athuluwee atha.
එබැවින් අවශ්‍ය ඖෂධ පිළිබඳ උපදෙස් ලබාගත් හනුමාන් එක පිම්මෙන්ම දඹදිවට ගොස් එහි හිමාලය වනාන්තරයේ ඖෂධ උද්‍යානයට පිවිසෙයි.	Ebawin awashya aushada pilibanda upades labagath hanuman eka pimmenma dambadivata gos ehi himalaya wanantharaye aushada udyanayata pivisei.
ධාර්මික-අධාර්මික	Dharmika-adharmika
බෞද්ධ සංගමය	Bauddha sangamaya
පකිස්තානයෙහි පෙහෙකම් කර්මාන්තය සඳහා ප්‍රාථමික ආදායනය එය වෙයි.	Pakistanayehi pehekam karmanthaya sandaha prathamika aadayanaya eya wei.
බණ්ඩාරනායක මැතිතුමා ලංකාවෙහි සතරවන අග්‍රාමාත්‍යවරයා බෞද්ධ භික්ෂුවක් ලෙස වෙස්වලා ගත්තකු සිදුකළ වෙඩි තැබීමෙන් මරණයට පත්වූහ.	Bandaranaike mathithuma lankawehi satharawana agramathyawaraya bauddha bhikshuwak lesa weswala gaththaku sidukala wedi thabeemen maranayata pathwooha.
වායු තලබමරය යනු මූලධර්මයන් අතින් හුමාල තලබමරයට සමාන වූ භ්‍රමණ යන්ත්‍රයකි.	Vayu thalabamaraya yanu muladarmayan athin humala thalabamarayata samana wu bhramana yanthrayaki.
මෙම කතාමාලාව විකාශය ආරම්භ කරන ලද්දේ 2014 අප්‍රේල් 15 දින සී ටීවී නාලිකාව ඔස්සේ ය.	Mema kathamalawa wikashaya aramba karana ladde 2014 april 15 dina c tv nalikawa osse ya.
කන්පෙති මුහුණේ පෙනුම සඳහා දායක වේ.	Kanpethi muhune penuma sandaha dayaka we.
මෙය පළතුරක් වශයෙන් භාවිතයට ගනී.	Meya palathurak washayen bhawithayata gani.
කවදා හෝ තම මව මැරෑ පලිය පියාගෙන් ගැනීමට සිතූ මෙම කුමරා විෂ මුසු ගෙඩි කොළ එකතු කොට විෂ ගුලි 18ක් නිපදවූ අතර එය දුටු ශක්‍රයා විෂ දිය ඉස යකුන් 18දෙනකු මැවූ බවත් ඔවුන් දහඅට සන්නිය නමින් ප්‍රසිද්ධ විය.	Kawada ho thama mawa maroo paliya piyagen ganeemata sithu mema kumara wisha musu gedi kola ekathu kota wisha guli 18k nipadawoo athara eya dutu shakraya wisha diya isa yakun 18deneku mawuu bhawath owun dahaata sanniya namin prasiddha wiya.
දුවිලි ඇල නම් කුඩා ඔය මේ ඇල්ල නිර්මාණය කරයි.	Dhuwili ela nam kuda oya me alla nirmanaya karai.
සබරගමු පළාතේ රත්නපුර දිස්‌ත්‍රික්‌කයේ බළන්ගොඩ ප්‍රාදේශීය ලේකම් කොට්‌ඨාසයේ තන්ජන්තැන්න ග්‍රාමසේවා වසමට අයත් කූරගල හා පිටුවන්ගල කටාරම් සහිත බ්‍රාහ්මී අක්‌ෂර යුත් ගල් ලෙන් ආරණ්‍ය සේනාසනයකි.	Sabaragamu palathe ratnapura distrikkaye balangoda pradeshiya lekam kottashaye thanjangenna gramaseva wasamata ayath kuragala ha pituwangala kataram sahitha brahmi akshara yuth gal len aranya senasanayaki.
දැඩි තැනැත්තකු වන සරූගේ පියා එම දෙදෙනා කිසිදු ලැජ්ජාවකින් තොරව සිපවැළඳ ගන්නා අයුරු දැක කෝපයට පත්වේ.	Dedi thenaththaku wana saruge piya ema dedena kisidu lajjawakin thorawa sipawelanda ganna ayuru deka kopayata pathwe.
උතුරින් සහ නැගෙනහිරින් මධ්‍යධරණි මුහුදට සීමාවේ.	Uthurin saha neganahirin madyadaranee muhudata seemawe.
පළාත් සභා කැබිනට් මණ්ඩලය පත් කිරීම මහා ඇමතිවරයාගේ උපදෙස් මත ආණ්ඩුකාරවරයා විසින් සිදු කරනු ලබන අතර එය ප්‍රධාන අමාත්‍යවරයාද ඇතුළුව සාමාජිකයන් 04කට නොවැඩි විය යුතුයි.	Palath sabha cabinet mandalaya path kireema maha amathiwarayage upades matha andukarawaraya wisin sidu karanu labana athara eya pradhana amathyawarayada athuluwa samajikayan 04kata nowadi wiya yuthui.
මෙය කෝවිලේ ඇති උසම නිර්මානයයි.	Meya kowile athi usama nirmanayai
බටහිර සමාජයන්හි නෙරා ආ කන් (යුරෝපීය ජාතීන්ගෙන් 5%ක පමණ දක්නට ලැබෙයි) අසමමිතික වූ හෙයින් එය අකර්ෂණීය නොවන අංගයක් ලෙස සැලකිණි.	Batahira samajayanhi nera aa kan (yuropeeya jathingen 5%ka pamana daknata labei) asamamithika wu heyin eya akarshaneeya nowana angayak lesa selakini.
එම අවස්ථා තුනේදීම රජයේ හමුදා කිලිනොච්චි නගරය අත් පත් කර ගැනීම වලක්වා ගැනීමට එල්.	Ema awastha thunedima rajaye hamuda kilinochchi nagaraya ath path kara geneema walakwa ganeemata L.
ද මේකිං ඔෆ් ඇඩොල්ෆ් හිට්ලර්: ද බර්ත් ඇන්ඩ් රයිස් ඔෆ් නාසිසම්.	The making of Adolf Hitlor the birth and rice of Nasiyam
බොහෝ කතෝලිකයන් ප්‍රසාද ස්නාපනය (බව්තීස්මය) ලබා තිබුනද දිව්‍ය පූජවකට සහභාගි වූ කාලයක් මතක නැති තරම් විය.	Boho katholikayan prasada snapanaya (bauthismaya) laba thibunada diwya poojawakata sahabagi wu kalayak mathaka nethi tharam wiya.
මෙම දෙවර්ගයට ඕසොන් විනාශ විමේ රසායනික ප්‍රතික්‍රියාව සිදු විමට අවශ්‍ය වටපිටාව සලසා දේ.	Mema dewargayata ooson vinasha weeme rasayanika prathikriyawa sidu weemata awashya watapitawa salasa de.
